com.samsung.health.device_profile,6307003,9
manufacturer,providing_step_goal,create_sh_ver,step_source_group,device_type,backsync_step_goal,capability,modify_sh_ver,device_group,update_time,create_time,name,model,legacy_deviceuuid,connectivity_type,deviceuuid,pkg_name,accessory_type,fixed_name,datauuid
Samsung,,,,,,,,360001,2025-07-03 03:28:03.275,2025-07-03 03:28:03.275,My Device,SM-S931U,,,OOh3/TRIp1,com.sec.android.app.shealth,,Aiden's S25,e69a0995-149d-a5c6-98c1-800dd7183294,
Combined,,,,,,,,0,2025-07-03 03:28:03.378,2024-04-07 20:31:51.040,Combined,Combined,,,VfS0qUERdZ,com.sec.android.app.shealth,,Aiden's S25,7af9722c-cd99-07b7-853a-43ce58e819c5,
all_target,,,,,,,,0,2025-07-03 03:28:03.401,2024-04-07 20:31:51.091,all_target,all_target,,,Mk66SbFqK1,com.sec.android.app.shealth,,Aiden's S25,471ca32b-a665-1e9e-7c27-7ac69485dc05,
Samsung Electronics,1,,106,10058,1,dcaf9f2f-810c-47d5-9698-14cc5c1d2e55.capability.json,,360003,2026-02-10 12:28:01.529,2025-07-03 00:42:55.639,Galaxy Watch6,SM-R945U,,,srp9fWplyX,com.sec.android.app.shealth,,Aiden's S25,dcaf9f2f-810c-47d5-9698-14cc5c1d2e55,
Samsung,,,,,,,,360001,2024-04-07 20:31:40.624,2024-04-07 20:31:40.624,My Device,SM-S916U,,,OKVbQxqZP/,com.sec.android.app.shealth,,Aiden's S23+,b58d5ad0-d82f-28da-c94c-8142f1191465,
Samsung Electronics,1,62660010,106,10058,1,91c51337-d7d4-4494-a51d-5e58780bc863.capability.json,63020270,360003,2025-06-27 18:52:53.365,2024-04-07 20:22:29.815,Galaxy Watch6,SM-R945U,,,KccLfCO56W,com.sec.android.app.shealth,,,91c51337-d7d4-4494-a51d-5e58780bc863,
Samsung,,,,,,,,360001,2018-07-10 19:55:33.446,2018-07-10 19:55:33.446,My Device,SM-G930T,,,1nlD1Z6VIo,com.sec.android.app.shealth,,Samsung Galaxy S7,85034dd6-6972-5025-85a3-e8876a9160fd,
Samsung,1,,1,10032,0,a7d56c61-2e48-de68-2527-b360286bad9f.capability.json,,360003,2019-09-17 02:00:22.827,2019-09-13 22:17:50.465,Gear S2,,,,JZRZc4b3Pg,com.sec.android.app.shealth,,Casper,a7d56c61-2e48-de68-2527-b360286bad9f,
Samsung,,,,,,,,360001,2019-12-01 16:37:29.343,2019-12-01 16:37:29.343,My Device,SM-G960U,,,nK6QfE8e0p,com.sec.android.app.shealth,,Pro Controller,44216711-770b-307a-0256-02097ccfc4ba,
Samsung Electronics,1,,18,10045,1,901cdf3d-52a0-b3e2-df80-2b841396d6c1.capability.json,,360003,2021-11-14 08:17:01.331,2021-10-20 20:02:55.249,Galaxy Watch,,,,GHswTlQl8d,com.sec.android.app.shealth,,Casper.mobile,901cdf3d-52a0-b3e2-df80-2b841396d6c1,
Samsung,,,,,,,,360001,2023-01-02 03:56:02.859,2023-01-02 03:56:02.859,My Device,SM-G991U,,,YijWzsdisX,com.sec.android.app.shealth,,Casper.mobile,4c33cdb8-8ab7-2a07-e958-698a5495f334,
